time(hr since start),0,4,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128,136,144,152,160,168,176,184,192,200,208,216,224,232
bottle_A,1.1,1.09,1.084,1.075,1.067,1.06,1.053,1.05,1.043,1.04,1.033,1.031,1.026,1.022,1.021,1.017,1.014,1.014,1.012,1.011,1.01,1.006,1.006,1.006,1.006,1.004,1.004,1.004,1.003,1.003,1.002
bottle_B,1.1,1.094,1.086,1.07,1.056,1.043,1.037,1.03,1.025,1.02,1.016,1.011,1.009,1.006,1.003,1.001,1.001,1,0.999,0.999,0.998,0.998,0.998,0.998,0.997,0.997,0.997,0.997,0.997,0.997,0.997
